Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 22:46:49:595,0,-5.30552,-1.1726,-38.9914
2023-03-11 22:46:49:605,0,-5.3146,-1.17801,-38.9619
2023-03-11 22:46:49:615,0,-5.31661,-1.18833,-38.9335
2023-03-11 22:46:49:625,0,-5.31288,-1.20032,-38.9013
2023-03-11 22:46:49:635,0,-5.30722,-1.21249,-38.8712
2023-03-11 22:46:49:645,0,-5.29408,-1.22431,-38.842
2023-03-11 22:46:49:655,0,-5.28281,-1.23271,-38.8129
2023-03-11 22:46:49:665,0,-5.27288,-1.23315,-38.7905
2023-03-11 22:46:49:675,0,-5.27339,-1.2273,-38.7703
2023-03-11 22:46:49:685,0,-5.27974,-1.22176,-38.756
2023-03-11 22:46:49:695,0,-5.29604,-1.21658,-38.7459
2023-03-11 22:46:49:705,0,-5.31575,-1.21562,-38.7499
2023-03-11 22:46:49:715,0,-5.33564,-1.21417,-38.7609
2023-03-11 22:46:49:725,0,-5.3568,-1.22189,-38.7777
2023-03-11 22:46:49:735,0,-5.37489,-1.23668,-38.7984
2023-03-11 22:46:49:745,0,-5.39097,-1.26064,-38.8222
2023-03-11 22:46:49:755,0,-5.39857,-1.29064,-38.8507
2023-03-11 22:46:49:765,0,-5.39651,-1.326,-38.8828
2023-03-11 22:46:49:775,0,-5.3872,-1.36323,-38.9216
2023-03-11 22:46:49:785,0,-5.384,-1.40241,-38.9591
2023-03-11 22:46:49:795,0,-5.39849,-1.44293,-38.9995
2023-03-11 22:46:49:805,0,-5.42282,-1.48211,-39.0434
2023-03-11 22:46:49:815,0,-5.45164,-1.52201,-39.0923
2023-03-11 22:46:49:825,0,-5.48044,-1.56057,-39.1388
2023-03-11 22:46:49:835,0,-5.49236,-1.60278,-39.1859
2023-03-11 22:46:49:845,0,-5.48032,-1.6507,-39.2429
2023-03-11 22:46:49:855,0,-5.41544,-1.68944,-39.3111
2023-03-11 22:46:49:865,0,-5.33355,-1.71441,-39.3686
2023-03-11 22:46:49:875,0,-5.27059,-1.72703,-39.4175
2023-03-11 22:46:49:885,0,-5.2219,-1.73822,-39.4613
2023-03-11 22:46:49:895,0,-5.17724,-1.75119,-39.4955
2023-03-11 22:46:49:905,0,-5.12762,-1.762,-39.5223
2023-03-11 22:46:49:915,0,-5.06787,-1.76343,-39.5398
2023-03-11 22:46:49:925,0,-5.0046,-1.76038,-39.5499
2023-03-11 22:46:49:935,0,-4.94631,-1.74885,-39.5528
2023-03-11 22:46:49:945,0,-4.90083,-1.73453,-39.5538
2023-03-11 22:46:49:955,0,-4.86648,-1.72282,-39.5479
2023-03-11 22:46:49:965,0,-4.84491,-1.7027,-39.536
2023-03-11 22:46:49:975,0,-4.83583,-1.68386,-39.5219
2023-03-11 22:46:49:985,0,-4.83373,-1.66832,-39.5049
2023-03-11 22:46:49:995,0,-4.83079,-1.64886,-39.4913
2023-03-11 22:46:50:5,0,-4.80071,-1.62861,-39.4896
2023-03-11 22:46:50:15,0,-4.74727,-1.60411,-39.489
2023-03-11 22:46:50:25,0,-4.69851,-1.57351,-39.4878
2023-03-11 22:46:50:35,0,-4.67214,-1.55088,-39.4831
2023-03-11 22:46:50:45,0,-4.6691,-1.53745,-39.4854
2023-03-11 22:46:50:55,0,-4.67779,-1.53063,-39.4912
2023-03-11 22:46:50:65,0,-4.68862,-1.52873,-39.5032
2023-03-11 22:46:50:75,0,-4.70932,-1.52175,-39.5217
2023-03-11 22:46:50:85,0,-4.74249,-1.51562,-39.5409
2023-03-11 22:46:50:95,0,-4.77056,-1.52166,-39.5676
2023-03-11 22:46:50:105,0,-4.77966,-1.53486,-39.592
2023-03-11 22:46:50:115,0,-4.7694,-1.54825,-39.6121
2023-03-11 22:46:50:125,0,-4.7631,-1.55897,-39.6258
2023-03-11 22:46:50:135,0,-4.76047,-1.55784,-39.6379
2023-03-11 22:46:50:145,0,-4.76264,-1.55957,-39.6406
2023-03-11 22:46:50:155,0,-4.75806,-1.56138,-39.6366
2023-03-11 22:46:50:165,0,-4.74737,-1.56052,-39.6287
2023-03-11 22:46:50:175,0,-4.73504,-1.55748,-39.6189
2023-03-11 22:46:50:185,0,-4.70601,-1.55609,-39.6054
2023-03-11 22:46:50:195,0,-4.65353,-1.5601,-39.5934
2023-03-11 22:46:50:205,0,-4.59092,-1.56425,-39.5832
2023-03-11 22:46:50:215,0,-4.52641,-1.56629,-39.5764
2023-03-11 22:46:50:225,0,-4.47893,-1.56482,-39.582
2023-03-11 22:46:50:235,0,-4.43982,-1.56341,-39.588
2023-03-11 22:46:50:245,0,-4.41068,-1.56313,-39.599
2023-03-11 22:46:50:255,0,-4.40365,-1.56092,-39.6113
2023-03-11 22:46:50:265,0,-4.41231,-1.56582,-39.6205
2023-03-11 22:46:50:275,0,-4.41483,-1.57031,-39.6303
2023-03-11 22:46:50:285,0,-4.41648,-1.5755,-39.6348
2023-03-11 22:46:50:295,0,-4.42067,-1.57665,-39.634
2023-03-11 22:46:50:305,0,-4.42351,-1.57344,-39.6345
2023-03-11 22:46:50:315,0,-4.41923,-1.56918,-39.6365
2023-03-11 22:46:50:325,0,-4.40356,-1.56718,-39.6396
2023-03-11 22:46:50:335,0,-4.39107,-1.56316,-39.6472
2023-03-11 22:46:50:345,0,-4.38514,-1.55807,-39.6565
2023-03-11 22:46:50:355,0,-4.38939,-1.55063,-39.6751
2023-03-11 22:46:50:365,0,-4.40549,-1.55118,-39.6985
2023-03-11 22:46:50:375,0,-4.42602,-1.54662,-39.7326
2023-03-11 22:46:50:385,0,-4.45652,-1.542,-39.7723
2023-03-11 22:46:50:395,0,-4.49667,-1.53507,-39.8173
2023-03-11 22:46:50:405,0,-4.53543,-1.52944,-39.8605
2023-03-11 22:46:50:415,0,-4.57806,-1.52849,-39.9045
2023-03-11 22:46:50:425,0,-4.61138,-1.53091,-39.9527
2023-03-11 22:46:50:435,0,-4.63383,-1.5316,-39.9989
2023-03-11 22:46:50:445,0,-4.64545,-1.53459,-40.0398
2023-03-11 22:46:50:455,0,-4.64818,-1.53731,-40.073
2023-03-11 22:46:50:465,0,-4.64952,-1.54067,-40.1003
2023-03-11 22:46:50:475,0,-4.64883,-1.53791,-40.1239
2023-03-11 22:46:50:485,0,-4.65335,-1.53291,-40.138
2023-03-11 22:46:50:495,0,-4.6574,-1.52384,-40.1458
2023-03-11 22:46:50:505,0,-4.66585,-1.50831,-40.1466
2023-03-11 22:46:50:515,0,-4.67213,-1.48967,-40.1426
2023-03-11 22:46:50:525,0,-4.67817,-1.46847,-40.1346
