Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 11:42:55:558,0,-79.787,0.507671,77.8125,Q,Q
2023-03-15 11:42:55:568,0,-79.7848,0.509235,77.8128,Q,Q
2023-03-15 11:42:55:578,0,-79.7848,0.507965,77.8167,Q,Q
2023-03-15 11:42:55:588,0,-79.783,0.508506,77.8172,Q,Q
2023-03-15 11:42:55:598,0,-79.7809,0.508277,77.8163,Q,Q
2023-03-15 11:42:55:608,0,-79.781,0.507988,77.8141,Q,Q
2023-03-15 11:42:55:618,0,-79.7808,0.507953,77.8151,Q,Q
2023-03-15 11:42:55:628,0,-79.7815,0.504914,77.8166,Q,Q
2023-03-15 11:42:55:638,0,-79.7846,0.502368,77.8189,Q,Q
2023-03-15 11:42:55:648,0,-79.7861,0.502404,77.8222,Q,Q
2023-03-15 11:42:55:658,0,-79.7852,0.502689,77.8209,Q,Q
2023-03-15 11:42:55:668,0,-79.783,0.503646,77.8199,Q,Q
2023-03-15 11:42:55:678,0,-79.7819,0.502095,77.8157,Q,Q
2023-03-15 11:42:55:688,0,-79.7823,0.504971,77.8137,Q,Q
2023-03-15 11:42:55:698,0,-79.7841,0.50346,77.8112,Q,Q
2023-03-15 11:42:55:708,0,-79.7847,0.505557,77.8088,Q,Q
2023-03-15 11:42:55:718,0,-79.7895,0.505159,77.8101,Q,Q
2023-03-15 11:42:55:728,0,-79.7888,0.506457,77.8114,Q,Q
2023-03-15 11:42:55:738,0,-79.7916,0.507474,77.8141,Q,Q
2023-03-15 11:42:55:748,0,-79.7977,0.505159,77.8133,Q,Q
2023-03-15 11:42:55:758,0,-79.8003,0.506694,77.8145,Q,Q
2023-03-15 11:42:55:768,0,-79.801,0.505175,77.8144,Q,Q
2023-03-15 11:42:55:778,0,-79.7998,0.503408,77.8171,Q,Q
2023-03-15 11:42:55:788,0,-79.7978,0.503627,77.8167,Q,Q
2023-03-15 11:42:55:798,0,-79.7995,0.502487,77.8147,Q,Q
2023-03-15 11:42:55:808,0,-79.7978,0.502892,77.8125,Q,Q
2023-03-15 11:42:55:818,0,-79.8023,0.502446,77.8124,Q,Q
2023-03-15 11:42:55:828,0,-79.8004,0.506514,77.811,Q,Q
2023-03-15 11:42:55:838,0,-79.799,0.504618,77.8103,Q,Q
2023-03-15 11:42:55:848,0,-79.7996,0.502123,77.8065,Q,Q
2023-03-15 11:42:55:858,0,-79.7986,0.503504,77.8083,Q,Q
2023-03-15 11:42:55:868,0,-79.7982,0.503354,77.8048,Q,Q
2023-03-15 11:42:55:878,0,-79.7981,0.504062,77.8038,Q,Q
2023-03-15 11:42:55:888,0,-79.8,0.504088,77.8029,Q,Q
2023-03-15 11:42:55:898,0,-79.8019,0.503084,77.8034,Q,Q
2023-03-15 11:42:55:908,0,-79.8032,0.506896,77.8026,Q,Q
2023-03-15 11:42:55:918,0,-79.7948,0.505991,77.8035,Q,Q
2023-03-15 11:42:55:928,0,-79.7936,0.504046,77.8038,Q,Q
2023-03-15 11:42:55:938,0,-79.7948,0.503469,77.8054,Q,Q
2023-03-15 11:42:55:948,0,-79.797,0.499765,77.8059,Q,Q
2023-03-15 11:42:55:958,0,-79.7975,0.497846,77.8061,Q,Q
2023-03-15 11:42:55:968,0,-79.7958,0.492977,77.8052,Q,Q
2023-03-15 11:42:55:978,0,-79.798,0.491223,77.8063,Q,Q
2023-03-15 11:42:55:988,0,-79.7998,0.491577,77.8055,Q,Q
2023-03-15 11:42:55:998,0,-79.8002,0.493621,77.8036,Q,Q
2023-03-15 11:42:56:8,0,-79.8008,0.493423,77.8071,Q,Q
2023-03-15 11:42:56:18,0,-79.8025,0.491627,77.804,Q,Q
2023-03-15 11:42:56:28,0,-79.8031,0.489123,77.8028,Q,Q
2023-03-15 11:42:56:38,0,-79.801,0.488411,77.805,Q,Q
2023-03-15 11:42:56:48,0,-79.801,0.488315,77.8049,Q,Q
2023-03-15 11:42:56:58,0,-79.8014,0.489173,77.8034,Q,Q
2023-03-15 11:42:56:68,0,-79.8013,0.486817,77.8038,Q,Q
2023-03-15 11:42:56:78,0,-79.8019,0.485566,77.804,Q,Q
2023-03-15 11:42:56:88,0,-79.7999,0.485871,77.8031,Q,Q
2023-03-15 11:42:56:98,0,-79.7994,0.483782,77.802,Q,Q
2023-03-15 11:42:56:108,0,-79.7978,0.486275,77.7992,Q,Q
2023-03-15 11:42:56:118,0,-79.7967,0.490903,77.801,Q,Q
2023-03-15 11:42:56:128,0,-79.7987,0.489891,77.8015,Q,Q
2023-03-15 11:42:56:138,0,-79.7988,0.489116,77.8052,Q,Q
