Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 21:09:21:395,0,-10.711,0.426766,87.9827
2023-03-11 21:09:21:405,0,-10.6967,0.41856,87.9787
2023-03-11 21:09:21:415,0,-10.6835,0.409084,87.9742
2023-03-11 21:09:21:425,0,-10.6715,0.400476,87.976
2023-03-11 21:09:21:435,0,-10.6644,0.397594,87.9719
2023-03-11 21:09:21:445,0,-10.6635,0.390881,87.968
2023-03-11 21:09:21:455,0,-10.6662,0.383815,87.9677
2023-03-11 21:09:21:465,0,-10.672,0.373926,87.9682
2023-03-11 21:09:21:475,0,-10.6752,0.363959,87.9694
2023-03-11 21:09:21:485,0,-10.6802,0.356278,87.9705
2023-03-11 21:09:21:495,0,-10.6855,0.345093,87.9749
2023-03-11 21:09:21:505,0,-10.6916,0.334767,87.9776
2023-03-11 21:09:21:515,0,-10.6943,0.324562,87.9839
2023-03-11 21:09:21:525,0,-10.6992,0.314267,87.9906
2023-03-11 21:09:21:535,0,-10.7045,0.308493,87.9982
2023-03-11 21:09:21:545,0,-10.7156,0.305265,88.005
2023-03-11 21:09:21:555,0,-10.7278,0.300545,88.0148
2023-03-11 21:09:21:565,0,-10.7394,0.297343,88.0237
2023-03-11 21:09:21:575,0,-10.753,0.294647,88.0352
2023-03-11 21:09:21:585,0,-10.7637,0.296259,88.0485
2023-03-11 21:09:21:595,0,-10.7706,0.301133,88.0593
2023-03-11 21:09:21:605,0,-10.7765,0.307755,88.0681
2023-03-11 21:09:21:615,0,-10.779,0.317852,88.0742
2023-03-11 21:09:21:625,0,-10.7756,0.326504,88.0749
2023-03-11 21:09:21:635,0,-10.7713,0.336565,88.0715
2023-03-11 21:09:21:645,0,-10.7641,0.346369,88.0635
2023-03-11 21:09:21:655,0,-10.7614,0.355193,88.0482
2023-03-11 21:09:21:665,0,-10.7648,0.364068,88.0358
2023-03-11 21:09:21:675,0,-10.7646,0.373366,88.0178
2023-03-11 21:09:21:685,0,-10.7594,0.376316,88.0046
2023-03-11 21:09:21:695,0,-10.7446,0.375425,87.9944
2023-03-11 21:09:21:705,0,-10.7276,0.371715,87.9909
2023-03-11 21:09:21:715,0,-10.7185,0.361121,87.9895
2023-03-11 21:09:21:725,0,-10.7085,0.356556,87.9895
2023-03-11 21:09:21:735,0,-10.699,0.353028,87.9937
2023-03-11 21:09:21:745,0,-10.688,0.348621,88.0013
2023-03-11 21:09:21:755,0,-10.6787,0.33967,88.0144
2023-03-11 21:09:21:764,0,-10.6652,0.331122,88.0256
2023-03-11 21:09:21:775,0,-10.651,0.320666,88.0407
2023-03-11 21:09:21:785,0,-10.6342,0.314343,88.0572
2023-03-11 21:09:21:795,0,-10.6153,0.310673,88.0768
2023-03-11 21:09:21:805,0,-10.5934,0.303896,88.0902
2023-03-11 21:09:21:815,0,-10.5711,0.299013,88.0994
2023-03-11 21:09:21:825,0,-10.5462,0.293972,88.1019
2023-03-11 21:09:21:835,0,-10.5233,0.289551,88.1001
2023-03-11 21:09:21:845,0,-10.4967,0.288347,88.0941
2023-03-11 21:09:21:855,0,-10.477,0.291411,88.0887
2023-03-11 21:09:21:865,0,-10.4647,0.2901,88.0818
2023-03-11 21:09:21:875,0,-10.4629,0.286158,88.0811
2023-03-11 21:09:21:885,0,-10.4609,0.27103,88.0865
2023-03-11 21:09:21:895,0,-10.4562,0.252185,88.1022
2023-03-11 21:09:21:905,0,-10.4398,0.232946,88.1199
2023-03-11 21:09:21:915,0,-10.4213,0.211068,88.1391
2023-03-11 21:09:21:925,0,-10.4033,0.186905,88.1505
2023-03-11 21:09:21:935,0,-10.3872,0.163108,88.1573
2023-03-11 21:09:21:945,0,-10.3878,0.14121,88.157
2023-03-11 21:09:21:955,0,-10.3987,0.124105,88.1419
2023-03-11 21:09:21:965,0,-10.4191,0.115357,88.1217
2023-03-11 21:09:21:975,0,-10.4451,0.11685,88.0922
2023-03-11 21:09:21:985,0,-10.4651,0.118051,88.0649
2023-03-11 21:09:21:995,0,-10.4667,0.1161,88.0388
2023-03-11 21:09:22:5,0,-10.4425,0.115158,88.025
2023-03-11 21:09:22:15,0,-10.3953,0.112376,88.0267
2023-03-11 21:09:22:25,0,-10.3443,0.107566,88.0389
2023-03-11 21:09:22:35,0,-10.3,0.111709,88.0654
2023-03-11 21:09:22:45,0,-10.2691,0.125567,88.0982
2023-03-11 21:09:22:55,0,-10.2484,0.148365,88.1357
2023-03-11 21:09:22:65,0,-10.2341,0.173428,88.1851
2023-03-11 21:09:22:75,0,-10.2252,0.188382,88.2421
2023-03-11 21:09:22:85,0,-10.2222,0.198028,88.303
2023-03-11 21:09:22:95,0,-10.2195,0.203502,88.3682
2023-03-11 21:09:22:105,0,-10.2108,0.20472,88.4301
2023-03-11 21:09:22:115,0,-10.1815,0.202192,88.4875
