Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 22:52:13:507,0,-10.3416,2.036,-30.8611
2023-03-11 22:52:13:517,0,-10.3464,2.05179,-30.717
2023-03-11 22:52:13:527,0,-10.3548,2.05737,-30.592
2023-03-11 22:52:13:537,0,-10.3649,2.05875,-30.4837
2023-03-11 22:52:13:547,0,-10.3731,2.05001,-30.3923
2023-03-11 22:52:13:557,0,-10.3826,2.03908,-30.3141
2023-03-11 22:52:13:567,0,-10.3877,2.02773,-30.2445
2023-03-11 22:52:13:577,0,-10.3944,2.01648,-30.1789
2023-03-11 22:52:13:587,0,-10.4012,2.00178,-30.1242
2023-03-11 22:52:13:597,0,-10.4097,1.98814,-30.0813
2023-03-11 22:52:13:607,0,-10.4269,1.9732,-30.043
2023-03-11 22:52:13:617,0,-10.4483,1.9592,-30.0163
2023-03-11 22:52:13:627,0,-10.472,1.94453,-29.9967
2023-03-11 22:52:13:637,0,-10.4962,1.92817,-29.9854
2023-03-11 22:52:13:647,0,-10.521,1.91951,-29.9831
2023-03-11 22:52:13:657,0,-10.5503,1.90606,-29.9921
2023-03-11 22:52:13:667,0,-10.5828,1.89498,-30.0062
2023-03-11 22:52:13:677,0,-10.6148,1.8769,-30.0238
2023-03-11 22:52:13:688,0,-10.6497,1.85556,-30.0406
2023-03-11 22:52:13:698,0,-10.6809,1.83325,-30.0583
2023-03-11 22:52:13:707,0,-10.7119,1.81165,-30.0853
2023-03-11 22:52:13:718,0,-10.7448,1.79727,-30.1186
2023-03-11 22:52:13:727,0,-10.7778,1.78816,-30.1563
2023-03-11 22:52:13:737,0,-10.8098,1.78585,-30.1929
2023-03-11 22:52:13:747,0,-10.8365,1.78305,-30.2339
2023-03-11 22:52:13:757,0,-10.8623,1.78779,-30.2768
2023-03-11 22:52:13:767,0,-10.8861,1.79267,-30.3195
2023-03-11 22:52:13:778,0,-10.9051,1.80031,-30.3595
2023-03-11 22:52:13:788,0,-10.9245,1.80628,-30.3965
2023-03-11 22:52:13:798,0,-10.9438,1.81279,-30.4349
2023-03-11 22:52:13:808,0,-10.9607,1.81735,-30.4759
2023-03-11 22:52:13:818,0,-10.9766,1.82299,-30.5186
2023-03-11 22:52:13:828,0,-10.9887,1.82977,-30.5621
2023-03-11 22:52:13:838,0,-10.992,1.8363,-30.6079
2023-03-11 22:52:13:848,0,-10.9992,1.84247,-30.6522
2023-03-11 22:52:13:857,0,-11.0082,1.84454,-30.6955
2023-03-11 22:52:13:867,0,-11.0211,1.84255,-30.7402
2023-03-11 22:52:13:878,0,-11.0317,1.83457,-30.7793
2023-03-11 22:52:13:887,0,-11.0374,1.82919,-30.8193
2023-03-11 22:52:13:897,0,-11.0355,1.8299,-30.8656
2023-03-11 22:52:13:908,0,-11.026,1.83108,-30.912
