Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 20:24:16:85,0,-8.78732,-2.11451,89.4684
2023-03-11 20:24:16:95,0,-8.80132,-2.11393,89.472
2023-03-11 20:24:16:105,0,-8.81587,-2.11445,89.4733
2023-03-11 20:24:16:115,0,-8.82786,-2.11215,89.4742
2023-03-11 20:24:16:125,0,-8.83675,-2.10262,89.4734
2023-03-11 20:24:16:136,0,-8.84573,-2.09571,89.4763
2023-03-11 20:24:16:146,0,-8.85115,-2.0884,89.4709
2023-03-11 20:24:16:156,0,-8.85929,-2.08371,89.4662
2023-03-11 20:24:16:166,0,-8.8673,-2.07684,89.4573
2023-03-11 20:24:16:176,0,-8.87433,-2.0693,89.4501
2023-03-11 20:24:16:185,0,-8.88863,-2.06323,89.4383
2023-03-11 20:24:16:195,0,-8.89837,-2.06086,89.4272
2023-03-11 20:24:16:206,0,-8.90976,-2.06309,89.4165
2023-03-11 20:24:16:215,0,-8.92032,-2.07292,89.4111
2023-03-11 20:24:16:225,0,-8.93666,-2.08362,89.4093
2023-03-11 20:24:16:235,0,-8.94971,-2.09684,89.4138
2023-03-11 20:24:16:245,0,-8.9679,-2.10644,89.421
2023-03-11 20:24:16:255,0,-8.98586,-2.11194,89.4287
2023-03-11 20:24:16:265,0,-9.00757,-2.11483,89.4393
2023-03-11 20:24:16:275,0,-9.03188,-2.12169,89.4537
2023-03-11 20:24:16:285,0,-9.0557,-2.12351,89.47
2023-03-11 20:24:16:295,0,-9.0779,-2.12444,89.4818
2023-03-11 20:24:16:305,0,-9.09488,-2.12275,89.4973
2023-03-11 20:24:16:315,0,-9.11137,-2.12563,89.5075
2023-03-11 20:24:16:325,0,-9.12866,-2.12481,89.5129
2023-03-11 20:24:16:336,0,-9.14397,-2.12511,89.5175
2023-03-11 20:24:16:346,0,-9.16496,-2.12047,89.5174
2023-03-11 20:24:16:355,0,-9.18439,-2.12162,89.5114
2023-03-11 20:24:16:366,0,-9.20571,-2.11872,89.5046
2023-03-11 20:24:16:375,0,-9.22569,-2.11381,89.4953
2023-03-11 20:24:16:386,0,-9.24261,-2.10271,89.484
2023-03-11 20:24:16:395,0,-9.25662,-2.09146,89.4716
2023-03-11 20:24:16:406,0,-9.2716,-2.08057,89.4587
2023-03-11 20:24:16:415,0,-9.28519,-2.07035,89.4431
2023-03-11 20:24:16:426,0,-9.29936,-2.05268,89.4276
2023-03-11 20:24:16:435,0,-9.30701,-2.03343,89.4101
2023-03-11 20:24:16:445,0,-9.31396,-2.01394,89.3935
2023-03-11 20:24:16:455,0,-9.32106,-1.99915,89.377
2023-03-11 20:24:16:465,0,-9.32939,-1.98937,89.3637
2023-03-11 20:24:16:476,0,-9.33869,-1.97926,89.3511
