Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-48-48-291407,0,160,1555,1445,-0.264,160.039,-0.34,0.32,-9.74,-2.06,-1.99,-157.06,37.06
2023-04-21 02-48-48-376323,0,160,1555,1445,-0.264,159.951,-0.33,0.33,-9.8,-2.02,-2.04,-157.06,37.06
2023-04-21 02-48-48-447249,0,160,1555,1445,-0.264,159.951,-0.33,0.31,-9.77,-1.99,-2.09,-157.07,37.06999999999999
2023-04-21 02-48-48-518111,0,160,1555,1445,-0.264,160.039,-0.32,0.33,-9.77,-1.98,-2.12,-157.07,37.06999999999999
2023-04-21 02-48-48-606386,0,160,1555,1445,-0.264,159.951,-0.35,0.31,-9.76,-1.96,-2.13,-157.08,37.08000000000001
2023-04-21 02-48-48-675568,0,160,1555,1445,-0.264,160.039,-0.34,0.3,-9.77,-1.96,-2.11,-157.09,37.09
2023-04-21 02-48-48-753688,0,160,1555,1445,-0.264,159.951,-0.34,0.34,-9.8,-1.97,-2.07,-157.1,37.099999999999994
2023-04-21 02-48-48-833287,0,160,1555,1445,-0.264,159.951,-0.32,0.31,-9.76,-2.01,-2.0,-157.09,37.09
2023-04-21 02-48-48-912022,0,160,1555,1445,-0.264,159.951,-0.32,0.32,-9.77,-2.04,-1.93,-157.07,37.06999999999999
2023-04-21 02-48-48-990795,0,160,1555,1445,-0.264,159.951,-0.27,0.32,-9.76,-2.06,-1.87,-157.06,37.06
2023-04-21 02-48-49-070202,0,160,1555,1445,-0.264,160.039,-0.27,0.38,-9.76,-2.08,-1.82,-157.07,37.06999999999999
2023-04-21 02-48-49-148529,0,160,1555,1445,-0.264,160.039,-0.27,0.32,-9.75,-2.1,-1.79,-157.09,37.09
2023-04-21 02-48-49-227345,0,160,1555,1445,-0.264,160.039,-0.29,0.34,-9.8,-2.11,-1.76,-157.12,37.120000000000005
2023-04-21 02-48-49-306386,0,160,1555,1445,-0.352,160.039,-0.27,0.35,-9.77,-2.12,-1.74,-157.13,37.129999999999995
2023-04-21 02-48-49-385813,0,160,1555,1445,-0.264,160.039,-0.28,0.34,-9.76,-2.14,-1.7,-157.13,37.129999999999995
2023-04-21 02-48-49-465313,0,160,1555,1445,-0.264,159.951,-0.28,0.32,-9.74,-2.15,-1.69,-157.13,37.129999999999995
2023-04-21 02-48-49-544909,0,160,1555,1445,-0.264,160.039,-0.27,0.37,-9.76,-2.15,-1.7,-157.11,37.110000000000014
2023-04-21 02-48-49-616785,0,160,1555,1445,-0.264,160.039,-0.23,0.37,-9.78,-2.15,-1.69,-157.12,37.120000000000005
2023-04-21 02-48-49-695490,0,160,1555,1445,-0.352,160.039,-0.25,0.37,-9.81,-2.15,-1.7,-157.14,37.139999999999986
2023-04-21 02-48-49-774666,0,160,1555,1445,-0.264,159.951,-0.26,0.33,-9.75,-2.15,-1.7,-157.16,37.16
2023-04-21 02-48-49-855130,0,160,1555,1445,-0.264,160.039,-0.28,0.35,-9.77,-2.15,-1.71,-157.17,37.16999999999999
2023-04-21 02-48-49-930381,0,160,1555,1445,-0.264,160.039,-0.27,0.31,-9.75,-2.15,-1.75,-157.18,37.18000000000001
2023-04-21 02-48-50-011438,0,160,1555,1445,-0.352,160.039,-0.3,0.34,-9.74,-2.13,-1.78,-157.19,37.19
2023-04-21 02-48-50-088058,0,160,1555,1445,-0.264,160.039,-0.26,0.33,-9.77,-2.11,-1.77,-157.18,37.18000000000001
2023-04-21 02-48-50-169302,0,160,1555,1445,-0.264,159.951,-0.23,0.3,-9.73,-2.11,-1.77,-157.18,37.18000000000001
2023-04-21 02-48-50-238308,0,160,1555,1445,-0.264,160.039,-0.29,0.32,-9.79,-2.11,-1.76,-157.2,37.19999999999999
2023-04-21 02-48-50-323123,0,160,1555,1445,-0.264,160.039,-0.28,0.33,-9.78,-2.11,-1.76,-157.22,37.22
2023-04-21 02-48-50-407044,0,160,1555,1445,-0.264,160.039,-0.31,0.35,-9.76,-2.12,-1.77,-157.24,37.24000000000001
2023-04-21 02-48-50-475378,0,160,1555,1445,-0.352,160.039,-0.25,0.35,-9.78,-2.12,-1.76,-157.24,37.24000000000001
2023-04-21 02-48-50-557378,0,160,1555,1445,-0.264,160.039,-0.28,0.36,-9.81,-2.12,-1.73,-157.24,37.24000000000001
2023-04-21 02-48-50-635515,0,160,1555,1445,-0.264,160.039,-0.24,0.34,-9.77,-2.13,-1.73,-157.25,37.25
2023-04-21 02-48-50-708427,0,160,1555,1445,-0.264,160.039,-0.25,0.32,-9.76,-2.13,-1.75,-157.26,37.25999999999999
2023-04-21 02-48-50-780664,0,160,1555,1445,-0.264,160.039,-0.28,0.3,-9.76,-2.12,-1.76,-157.28,37.28
2023-04-21 02-48-50-860421,0,160,1555,1445,-0.264,160.039,-0.29,0.33,-9.76,-2.09,-1.78,-157.29,37.28999999999999
2023-04-21 02-48-50-939810,0,160,1555,1445,-0.264,159.951,-0.28,0.34,-9.79,-2.08,-1.8,-157.31,37.31
2023-04-21 02-48-51-020485,0,160,1555,1445,-0.264,160.039,-0.26,0.33,-9.76,-2.07,-1.82,-157.32,37.31999999999999
2023-04-21 02-48-51-100451,0,160,1555,1445,-0.264,160.039,-0.25,0.34,-9.8,-2.08,-1.82,-157.32,37.31999999999999
2023-04-21 02-48-51-184843,0,160,1555,1445,-0.264,160.039,-0.29,0.35,-9.77,-2.08,-1.85,-157.34,37.34
2023-04-21 02-48-51-260964,0,160,1555,1445,-0.264,160.039,-0.31,0.33,-9.77,-2.08,-1.88,-157.36,37.360000000000014
2023-04-21 02-48-51-350719,0,160,1555,1445,-0.264,160.039,-0.3,0.32,-9.78,-2.06,-1.89,-157.36,37.360000000000014
2023-04-21 02-48-51-421121,0,160,1555,1445,-0.264,159.951,-0.29,0.28,-9.75,-2.06,-1.87,-157.36,37.360000000000014
