Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-23 23-27-59-929870,0,0,1530,1470,178.945,-12.926,-0.52,1.16,-9.68,-6.75,-3.6,161.58,36.37784000000005
2023-03-23 23-28-00-153849,0,0,1530,1470,178.857,-12.926,-0.67,1.2,-9.57,-6.8,-4.18,161.78,36.57784000000004
2023-03-23 23-28-00-377618,0,0,1530,1470,178.945,-12.926,-0.67,1.16,-9.68,-6.76,-3.81,161.9,36.69784000000004
2023-03-23 23-28-00-601592,0,0,1530,1470,178.857,-12.926,-0.61,1.14,-9.64,-6.69,-3.35,161.8,36.59784000000005
2023-03-23 23-28-00-825428,0,0,1530,1470,178.857,-12.926,-0.53,1.13,-9.7,-6.59,-3.1,161.36,36.15784000000005
2023-03-23 23-28-01-049490,0,0,1530,1470,178.857,-12.926,-0.52,1.13,-9.7,-6.57,-3.09,161.27,36.06784000000005
2023-03-23 23-28-01-273863,0,0,1530,1470,178.857,-12.926,-0.56,1.14,-9.67,-6.63,-3.65,161.34,36.13784000000004
2023-03-23 23-28-01-497430,0,0,1530,1470,178.857,-12.926,-0.6,1.14,-9.68,-6.72,-3.76,161.39,36.18784000000002
2023-03-23 23-28-01-721556,0,0,1530,1470,178.857,-12.926,-0.58,1.12,-9.67,-6.75,-3.33,161.54,36.33784000000003
2023-03-23 23-28-01-945535,0,0,1530,1470,178.857,-12.926,-0.55,1.14,-9.7,-6.67,-3.1,161.18,35.97784000000004
2023-03-23 23-28-02-169618,0,0,1530,1470,178.857,-12.926,-0.53,1.13,-9.71,-6.69,-3.13,160.96,35.757840000000044
2023-03-23 23-28-02-393590,0,0,1530,1470,178.857,-12.926,-0.64,1.15,-9.67,-6.74,-4.07,161.22,36.017840000000035
2023-03-23 23-28-02-617707,0,0,1530,1470,178.945,-12.926,-0.63,1.14,-9.67,-6.75,-3.9,161.32,36.11784000000003
2023-03-23 23-28-02-841623,0,0,1530,1470,178.857,-12.926,-0.59,1.13,-9.68,-6.71,-3.4,161.29,36.08784000000003
2023-03-23 23-28-03-065542,0,0,1530,1470,178.857,-12.926,-0.56,1.12,-9.69,-6.64,-3.11,160.84,35.63784000000004
2023-03-23 23-28-03-289659,0,0,1530,1470,178.857,-12.926,-0.5,1.12,-9.72,-6.6,-2.98,160.69,35.487840000000034
2023-03-23 23-28-03-513580,0,0,1530,1470,178.945,-12.926,-0.61,1.14,-9.67,-6.77,-3.69,160.7,35.497840000000025
2023-03-23 23-28-03-737489,0,0,1530,1470,178.857,-12.926,-0.56,1.16,-9.73,-6.78,-3.34,160.9,35.69784000000004
2023-03-23 23-28-03-961482,0,0,1530,1470,178.945,-12.926,-0.54,1.15,-9.68,-6.77,-3.16,160.71,35.507840000000044
2023-03-23 23-28-04-186380,0,0,1530,1470,178.857,-12.926,-0.51,1.13,-9.7,-6.7,-2.9,160.36,35.15784000000005
