Timestamp_cmd,imu_cmd
2023-02-16 05:31:24:698,0
2023-02-16 05:31:24:707,0
2023-02-16 05:31:24:718,0
2023-02-16 05:31:24:728,0
2023-02-16 05:31:24:738,0
2023-02-16 05:31:24:748,0
2023-02-16 05:31:24:758,0
2023-02-16 05:31:24:767,0
2023-02-16 05:31:24:777,0
2023-02-16 05:31:24:787,0
2023-02-16 05:31:24:797,0
2023-02-16 05:31:24:807,0
2023-02-16 05:31:24:817,0
2023-02-16 05:31:24:827,0
2023-02-16 05:31:24:837,0
2023-02-16 05:31:24:847,0
2023-02-16 05:31:24:857,0
2023-02-16 05:31:24:867,0
2023-02-16 05:31:24:877,0
2023-02-16 05:31:24:887,0
2023-02-16 05:31:24:897,0
2023-02-16 05:31:24:907,0
2023-02-16 05:31:24:917,0
2023-02-16 05:31:24:927,0
2023-02-16 05:31:24:937,0
2023-02-16 05:31:24:947,0
2023-02-16 05:31:24:957,0
2023-02-16 05:31:24:967,0
2023-02-16 05:31:24:977,0
2023-02-16 05:31:24:987,0
2023-02-16 05:31:24:997,0
2023-02-16 05:31:25:7,0
2023-02-16 05:31:25:17,0
2023-02-16 05:31:25:27,0
2023-02-16 05:31:25:37,0
2023-02-16 05:31:25:47,0
2023-02-16 05:31:25:57,0
2023-02-16 05:31:25:67,0
2023-02-16 05:31:25:77,0
2023-02-16 05:31:25:87,0
2023-02-16 05:31:25:97,0
2023-02-16 05:31:25:107,0
2023-02-16 05:31:25:117,0
2023-02-16 05:31:25:127,0
2023-02-16 05:31:25:137,0
2023-02-16 05:31:25:147,0
2023-02-16 05:31:25:157,0
2023-02-16 05:31:25:167,0
2023-02-16 05:31:25:177,0
2023-02-16 05:31:25:187,0
2023-02-16 05:31:25:197,0
2023-02-16 05:31:25:207,0
2023-02-16 05:31:25:217,0
2023-02-16 05:31:25:227,0
2023-02-16 05:31:25:237,0
2023-02-16 05:31:25:247,0
2023-02-16 05:31:25:257,0
2023-02-16 05:31:25:267,0
2023-02-16 05:31:25:277,0
2023-02-16 05:31:25:287,0
2023-02-16 05:31:25:297,0
2023-02-16 05:31:25:307,0
2023-02-16 05:31:25:317,0
2023-02-16 05:31:25:327,0
2023-02-16 05:31:25:337,0
2023-02-16 05:31:25:347,0
2023-02-16 05:31:25:357,0
2023-02-16 05:31:25:367,0
